Name,Version,Download URL,Package URL,License,Description
kwidgetsaddons,5.50.0,http://download.kde.org/stable/frameworks/5.50/kwidgetsaddons-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kwidgetsaddons/repository,LGPLv2.1+,Addons to QtWidgets
kwindowsystem,5.50.0,http://download.kde.org/stable/frameworks/5.50/kwindowsystem-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kwindowsystem/repository,LGPLv2.1+,Access to the windowing system
kxmlgui,5.50.0,http://download.kde.org/stable/frameworks/5.50/kxmlgui-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kxmlgui/repository,LGPLv2.1+,User configurable main windows
kxmlrpcclient,5.50.0,http://download.kde.org/stable/frameworks/5.50/kxmlrpcclient-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kxmlrpcclient/repository,LGPLv2.1+,Interaction with XMLRPC services
modemmanager-qt,5.50.0,http://download.kde.org/stable/frameworks/5.50/modemmanager-qt-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/modemmanager-qt/repository,LGPLv2.1+,Qt wrapper for ModemManager API
neiasound,5.50.0,http://download.kde.org/stable/frameworks/5.50/neiasound-5.50.0.tar.xz,https://github.com/lucaspcamargo/neiasound,BSD 2-clause,OpenAl wrapper for Qt apps and games
networkmanager-qt,5.50.0,http://download.kde.org/stable/frameworks/5.50/networkmanager-qt-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/networkmanager-qt/repository,LGPLv2.1+,Qt wrapper for NetworkManager API
oxygen-icons5,5.50.0,http://download.kde.org/stable/frameworks/5.50/oxygen-icons5-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/oxygen-icons5/repository,LGPLv2.1+,Oxygen icon theme
plasma-framework,5.50.0,http://download.kde.org/stable/frameworks/5.50/plasma-framework-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/plasma-framework/repository,LGPLv2.1+,Plugin based UI runtime used to write primary user interfaces
prison,5.50.0,http://download.kde.org/stable/frameworks/5.50/prison-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/prison/repository,LGPLv2.1+,Barcode abstraction layer providing uniform access to generation of barcodes
purpose,5.50.0,http://download.kde.org/stable/frameworks/5.50/purpose-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/purpose/repository,LGPLv2.1+,Offers available actions for a specific purpose
qqc2-desktop-style,5.50.0,http://download.kde.org/stable/frameworks/5.50/qqc2-desktop-style-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/qqc2-desktop-style/repository,LGPLv2.1+,QtQuickControls 2 style that integrates with the desktop
solid,5.50.0,http://download.kde.org/stable/frameworks/5.50/solid-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/solid/repository,LGPLv2.1+,Hardware integration and detection
sonnet,5.50.0,http://download.kde.org/stable/frameworks/5.50/sonnet-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/sonnet/repository,LGPLv2.1+,Support for spellchecking
syntax-highlighting,5.50.0,http://download.kde.org/stable/frameworks/5.50/syntax-highlighting-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/syntax-highlighting/repository,LGPLv2.1+,Syntax Highlighting
threadweaver,5.50.0,http://download.kde.org/stable/frameworks/5.50/threadweaver-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/threadweaver/repository,LGPLv2.1+,High-level multithreading framework
